id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1271729943412645888,1271729943412645888,1592039020000,2020-06-13,09:03:40,UTC,473258061,sajiddbaloch,Sajid Rasheed Baloch,,"This is Pakistan Baby
7 Days Corona patient Charges in Agha Khan hospital karachi Pakistan
#COVID #Covid_19 #COVID19Pakistan #WHO #hospitals
#Budget2020 pic.twitter.com/HthzV6tZyz",[],[],['https://pbs.twimg.com/media/EaYXotZWkAE1lzY.jpg'],0,0,0,"['#covid', '#covid_19', '#covid19pakistan', '#who', '#hospitals', '#budget2020']",[],https://twitter.com/sajiddbaloch/status/1271729943412645888,False,,0,,,,,,,"[{'user_id': '473258061', 'username': 'sajiddbaloch'}]",,,,
1271729628995104769,1271729628995104769,1592038945000,2020-06-13,09:02:25,UTC,1008080762007154688,withabdullah1,Abdullah Shahzad,,"Shahid Afridi has been tested positive for Covid 19. he has been on charity work since COVID has started in Pakistan. May Allah Almighty bless you with speedy recovery Lala ❤️. 
My prayers in fact whole Nation's prayers are with you. 
Love you #Lala
#ShahidAfridi #Lala #BoomBoom pic.twitter.com/FUbsh89sP2",[],[],['https://pbs.twimg.com/media/EaYXWdGXYAQYxlW.jpg'],0,0,0,"['#lala', '#shahidafridi', '#lala', '#boomboom']",[],https://twitter.com/withabdullah1/status/1271729628995104769,False,,0,,,,,,,"[{'user_id': '1008080762007154688', 'username': 'withabdullah1'}]",,,,
1271729323217690624,1271729323217690624,1592038872000,2020-06-13,09:01:12,UTC,1253235954535395329,24x7_world,World 24x7 News,,"पाकिस्तान के पूर्व क्रिकेटर शाहिद अफरीदी को हुआ कोरोना, खुद किया ऐलान-Former Pakistan allrounder Shahid Afridi says he has tested positive for COVID 19 | cricket – News in Hindi  https://world24x7news.com/?p=14687 ",[],['https://world24x7news.com/?p=14687'],[],0,0,0,[],[],https://twitter.com/24x7_world/status/1271729323217690624,False,,0,,,,,,,"[{'user_id': '1253235954535395329', 'username': '24x7_world'}]",,,,
1271727826732036096,1271727826732036096,1592038516000,2020-06-13,08:55:16,UTC,18140095,paknews,Pakistan News,,"Confirmed cases of COVID-19 surge to 132,405 in Pakistan -  http://www.paknews.eu/786839/confirmed-cases-of-covid-19-surge-to-132405-in-pakistan?via=tw … #confirmed #cases pic.twitter.com/0JF6dRA1HY",[],['http://www.paknews.eu/786839/confirmed-cases-of-covid-19-surge-to-132405-in-pakistan?via=tw'],['https://pbs.twimg.com/media/EaYVt37XYAE_h9i.jpg'],0,0,1,"['#confirmed', '#cases']",[],https://twitter.com/paknews/status/1271727826732036096,False,,0,,,,,,,"[{'user_id': '18140095', 'username': 'paknews'}]",,,,
1271727708712525824,1271727708712525824,1592038487000,2020-06-13,08:54:47,UTC,1261581120006549504,tangocharlie108,Tango Charlie,,"#Pakistan's would be #selected #PrimeMinister
#shahidafridi suffering from #COVID__19
His (sister/wife) must be in tension  https://twitter.com/SAfridiOfficial/status/1271720209657630720 …",[],['https://twitter.com/SAfridiOfficial/status/1271720209657630720'],[],0,0,9,"['#pakistan', '#selected', '#primeminister', '#shahidafridi', '#covid__19']",[],https://twitter.com/TangoCharlie108/status/1271727708712525824,False,https://twitter.com/SAfridiOfficial/status/1271720209657630720,0,,,,,,,"[{'user_id': '1261581120006549504', 'username': 'TangoCharlie108'}]",,,,
1271727657802240000,1271727657802240000,1592038475000,2020-06-13,08:54:35,UTC,984332612595568640,heyyusama,Us AmA,,"#ShahidAfridi has been tested positive for #Covid_19 😭. He has been on charity ❤️ work since covid-19 has started in Pakistan.May Allah Almighty Bless you with speedy recovery. AMEEN
#shahidafridi pic.twitter.com/p0Z25g5hm9",[],[],['https://pbs.twimg.com/media/EaYVj7XWAAAaBja.jpg'],0,0,2,"['#shahidafridi', '#covid_19', '#shahidafridi']",[],https://twitter.com/heyyusama/status/1271727657802240000,False,,0,,,,,,,"[{'user_id': '984332612595568640', 'username': 'heyyusama'}]",,,,
1271727216968314881,1271718864427143168,1592038370000,2020-06-13,08:52:50,UTC,3358618452,dudetabahi_,.🇵🇰,,Total recovered pts in Pakistan is more than 40000 do you really think they were treated in pvt hospitals? Sorry to say but you don't know the rationale of the COVID-19. Ab aap kay khandan kay paas Masha Allah say paisa bht hoga to wo alag baat hai,['baji_zulekha'],[],[],1,0,1,[],[],https://twitter.com/DudeTabahi_/status/1271727216968314881,False,,0,,,,,,,"[{'user_id': '3358618452', 'username': 'DudeTabahi_'}, {'user_id': '1146644413738901510', 'username': 'baji_zulekha'}]",,,,
1271727065675554817,1271727065675554817,1592038334000,2020-06-13,08:52:14,UTC,1001586460837974021,haiderbhinder,Haider Zulfiqar Bhinder,,"Lala has been tested positive for Covid 19. He has been on charity work since covid has started in Pakistan may Allah Almighty bless you with speedy recovery Lala my prayers infact whole nation's prayers are with you
#shahidafridi pic.twitter.com/gc5ZnUEHjb",[],[],['https://pbs.twimg.com/media/EaYU-S6WkAInzdO.jpg'],2,0,3,['#shahidafridi'],[],https://twitter.com/HaiderBhinder/status/1271727065675554817,False,,0,,,,,,,"[{'user_id': '1001586460837974021', 'username': 'HaiderBhinder'}]",,,,
1271727064740245505,1271727064740245505,1592038334000,2020-06-13,08:52:14,UTC,963016106440036358,ammarsays101,Ammar (Aayat ka Bday ❤️),,"Shahid Afridi tested positive for #Covid_19..
Wish him a speedy recovery ❤️..
He is one of most  supportive people of Pakistan in this pandemic 😍
#ShahidAfridi pic.twitter.com/HnNACtXcLY",[],[],['https://pbs.twimg.com/media/EaYVARGXQAA4GRa.jpg'],2,8,32,"['#covid_19', '#shahidafridi']",[],https://twitter.com/AmmarSays101/status/1271727064740245505,False,,0,,,,,,,"[{'user_id': '963016106440036358', 'username': 'AmmarSays101'}]",,,,
1271726830580568064,1271726830580568064,1592038278000,2020-06-13,08:51:18,UTC,2690583667,iam_mian,Mian Omer 🇵🇰,,#ShahidAfridi has been tested positive for #Covid_19 😭. He has been on charity ❤️ work since covid-19 has started in Pakistan.May Allah Almighty Bless you with speedy recovery.  pic.twitter.com/dlzSAQDvI7,[],[],['https://pbs.twimg.com/media/EaYUz-yXQAU4cAh.jpg'],11,14,104,"['#shahidafridi', '#covid_19']",[],https://twitter.com/Iam_Mian/status/1271726830580568064,False,,0,,,,,,,"[{'user_id': '2690583667', 'username': 'Iam_Mian'}]",,,,
